species,plot,abund,log_seedmass.exp,log_seedmass
Eucalyptus camphora subsp. humeana,10,0.102040816326531,-0.468521082957745,-0.468521082957745
Eucalyptus cypellocarpa,4,0.0754361150400754,0.850646235183066,0.850646235183066
Eucalyptus elata,5,0.0290598290598291,0.644438589467838,0.644438589467838
Eucalyptus radiata,8,0.016849199663016,0.937016107464814,0.937016107464814
Eucalyptus radiata,9,0.143683702989392,0.937016107464814,0.937016107464814
Eucalyptus radiata,14,0.126561199000833,0.937016107464814,0.937016107464814
Eucalyptus resinifera,15,0.154220779220779,0.397940008672038,0.397940008672038
Eucalyptus rubida,7,0.553805774278215,0.471291711058939,0.471291711058939
Eucalyptus stellulata,10,0.186074429771909,0.173186268412274,0.173186268412274
Eucalyptus tereticornis,12,0.177331481679308,-0.0506099933550872,-0.0506099933550872
Eucalyptus tereticornis,15,0.227272727272727,-0.0506099933550872,-0.0506099933550872
Eucalyptus viminalis,3,0.311158798283262,0.107209969647868,0.107209969647868
Eucalyptus viminalis,9,0.0327868852459016,0.107209969647868,0.107209969647868
Eucalyptus viminalis,14,0.294754371357202,0.107209969647868,0.107209969647868
Eustrephus latifolius,1,0.0139968895800933,1.13735411137073,1.13735411137073
Glochidion ferdinandi var. ferdinandi,15,0.0649350649350649,1.19728055812562,1.19728055812562
Grevillea robusta,13,0.00917431192660551,1.30102999566398,1.30102999566398
Guioa semiglauca,1,0.00933125972006221,1.61278385671974,1.61278385671974
Gymnostachys anceps,1,0.00933125972006221,2.35907622605926,2.35907622605926
Gymnostachys anceps,15,0.0194805194805195,2.35907622605926,2.35907622605926
Imperata cylindrica,11,0.0237099023709902,-0.657577319177794,-0.657577319177794
Imperata cylindrica,12,0.082256169212691,-0.657577319177794,-0.657577319177794
Imperata cylindrica,13,0.0120412844036697,-0.657577319177794,-0.657577319177794
Lepidosperma laterale,5,0.0307692307692308,0.45484486000851,0.45484486000851
Lepidosperma laterale,6,0.0243128964059197,0.45484486000851,0.45484486000851
Lepironia articulata,13,0.0131880733944954,0.45484486000851,0.45484486000851
Leptospermum brevipes,3,0.164163090128755,-0.823908740944319,-0.823908740944319
Leptospermum brevipes,6,0.291754756871036,-0.823908740944319,-0.823908740944319
Leptospermum brevipes,8,0.101937657961247,-0.823908740944319,-0.823908740944319
Leptospermum brevipes,10,0.366146458583433,-0.823908740944319,-0.823908740944319
Leptospermum brevipes,14,0.0691090757701915,-0.823908740944319,-0.823908740944319
Ligustrum sinense,12,0.024035893601111,1.23044892137827,1.23044892137827
Ligustrum sinense,15,0.088474025974026,1.23044892137827,1.23044892137827
Lomandra hystrix,12,0.0795855143681231,1.14363923527454,1.14363923527454
Lomandra longifolia,1,0.031104199066874,1.0542299098634,1.0542299098634
Lomandra longifolia,2,0.00911854103343465,1.0542299098634,1.0542299098634
Lomandra longifolia,3,0.148068669527897,1.0542299098634,1.0542299098634
Lomandra longifolia,4,0.049033474776049,1.0542299098634,1.0542299098634
Lomandra longifolia,5,0.0247863247863248,1.0542299098634,1.0542299098634
Lomandra longifolia,6,0.0697674418604651,1.0542299098634,1.0542299098634
Lomandra longifolia,7,0.078740157480315,1.0542299098634,1.0542299098634
Lomandra longifolia,11,0.121338912133891,1.0542299098634,1.0542299098634
Lomandra longifolia,13,0.051605504587156,1.0542299098634,1.0542299098634
Lomandra longifolia,15,0.0771103896103896,1.0542299098634,1.0542299098634
Lomatia myricoides,4,0.0179160773220179,0.809559714635268,0.809559714635268
Lomatia myricoides,9,0.106075216972035,0.809559714635268,0.809559714635268
Lomatia myricoides,14,0.0466278101582015,0.809559714635268,0.809559714635268
Lophostemon suaveolens,13,0.180045871559633,-0.173925197299174,-0.173925197299174
Melaleuca quinquenervia,13,0.0642201834862385,-0.508638306165727,-0.508638306165727
Melicytus dentatus,4,0.115511551155116,1.06333335895175,1.06333335895175
Melicytus dentatus,6,0.0126849894291755,1.06333335895175,1.06333335895175
Melicytus dentatus,8,0.0328559393428812,1.06333335895175,1.06333335895175
Melicytus dentatus,12,0.0694370259587651,1.06333335895175,1.06333335895175
Microlaena stipoides,4,0.0697784064120698,0.696356388733332,0.696356388733332
Microlaena stipoides,5,0.256410256410256,0.696356388733332,0.696356388733332
Microlaena stipoides,6,0.0200845665961945,0.696356388733332,0.696356388733332
Microlaena stipoides,10,0.0120048019207683,0.696356388733332,0.696356388733332
Microlaena stipoides,11,0.432357043235704,0.696356388733332,0.696356388733332
Microlaena stipoides,12,0.0256382865078517,0.696356388733332,0.696356388733332
Notelaea longifolia,13,0.0206422018348624,1.64542226934909,1.64542226934909
Notelaea microcarpa var. microcarpa,11,0.0264993026499303,1.63868888669012,1.63868888669012
