species,Nplots,mean.abund,ts,betaT,alphaT,Rs,slopeN,b.inter,bs,bs.se,bs.p,u.inter,us,us.se,us.p,min.tp,max.tp,min.tval,max.tval,low.bound,hi.bound
Eucalyptus radiata,3,0.0839002344373953,1.01283722470517,1.03853528912041,-0.0256980644152409,0.228721739145983,3,1.01283722470517,-1.43549274491463e-15,3.36955830290775e-15,0.743612431533081,1.01283722470517,1.35967650702533e-15,1.30587520722458e-15,0.487152257820446,0.94575162781106,1.17447336695704,1.01283722470517,1.01283722470517,0,0
Eucalyptus resinifera,1,0.092818759159746,0.807365990425832,1.06217211507031,-0.254806124644477,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.06217211507031,1.06217211507031,0.807365990425832,0.807365990425832,0,0
Eucalyptus rubida,1,0.66984126984127,0.708420900134713,0.865026256273222,-0.156605356138509,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.865026256273222,0.865026256273222,0.708420900134713,0.708420900134713,0,0
Eucalyptus stellulata,1,0.181286549707602,0.905795880367869,1.09066412871953,-0.184868248351662,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.09066412871953,1.09066412871953,0.905795880367869,0.905795880367869,0,0
Eucalyptus tereticornis,2,0.16313081350951,0.816241299991783,1.12480445851251,-0.308563158520726,0.107847542014073,2,0.816241299991785,-1.82623088543597e-15,NA,1,0.816241299991783,0,NA,1,1.06217211507031,1.17001965708438,0.816241299991783,0.816241299991783,0,0
Eucalyptus viminalis,3,0.161595475267524,0.838219221907626,1.00945002104657,-0.171230799138945,0.163173931119307,3,0.838219221907627,-1.10108479060402e-15,2.79367322965995e-16,0.158185269417073,0.838219221907625,9.26175603070982e-16,2.35774719425803e-15,0.76171105172515,0.94575162781106,1.10892555893037,0.838219221907626,0.838219221907626,0,0
Eustrephus latifolius,1,0.0117340286831812,1.34321159017975,1.05507190276954,0.288139687410212,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.34321159017975,1.34321159017975,0,0
Glochidion ferdinandi var. ferdinandi,1,0.0390815828041036,1.10856502373283,1.06217211507031,0.0463929086625259,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.06217211507031,1.06217211507031,1.10856502373283,1.10856502373283,0,0
Grevillea robusta,1,0.00778588807785888,0.700703717145019,1.15246521031611,-0.451761493171095,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.15246521031611,1.15246521031611,0.700703717145019,0.700703717145019,0,0
Guioa semiglauca,1,0.00782268578878748,1.12090281761453,1.05507190276954,0.065830914844992,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.12090281761453,1.12090281761453,0,0
Gymnostachys anceps,2,0.00977358031500929,0.843855422623161,1.0593306420342,-0.215475219411041,0.00710021230077329,2,0.843855422623161,0,NA,1,0.843855422623138,2.21133170695865e-14,NA,1,1.05507190276954,1.06217211507031,0.843855422623161,0.843855422623161,0,0
Hovea asperifolia subsp. asperifolia,1,0.101047904191617,0.99211148778695,0.94575162781106,0.04635985997589,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.94575162781106,0.94575162781106,0.99211148778695,0.99211148778695,0,0
Imperata cylindrica,3,0.0404653865549792,1.20709554041922,1.18563338962632,0.0214621507928994,0.10665033166802,3,1.20709554041921,8.87820883570483e-15,1.96194663837549e-15,0.138457906685864,1.20709554041921,3.83692691516499e-15,5.95988561716695e-16,0.0981019686157287,1.15246521031611,1.25911554198413,1.20709554041922,1.20709554041922,0,1
Lepidosperma laterale,2,0.0272697983289045,0.88309335857569,0.873649122185082,0.00944423639060799,0.274827166463524,2,0.88309335857569,-8.70027178764781e-16,NA,1,0.88309335857569,0,NA,1,0.721335594201197,0.996162760664721,0.88309335857569,0.88309335857569,1,0
Leptospermum brevipes,5,0.177949007233556,0.955206537541942,0.965920944155428,-0.0107144066134859,0.453137772755846,5,0.955206537541942,-3.02466073460483e-16,4.3715442979224e-16,0.538742363037672,0.955206537541942,0,0,NA,0.721335594201197,1.17447336695704,0.955206537541942,0.955206537541942,1,0
Ligustrum sinense,2,0.0394653281711533,1.01953168453126,1.09726292360703,-0.0777312390757727,0.107847542014073,2,1.01953168453126,-1.95521309666994e-15,NA,1,1.01953168453126,0,NA,1,1.06217211507031,1.17001965708438,1.01953168453126,1.01953168453126,0,0
Lomandra longifolia,10,0.0568800916976266,1.1102529173534,1.02045260294299,0.0898003144104149,0.537779947782938,10,1.1102529173534,-1.23106784611218e-17,4.9260293511188e-16,0.980674212171217,1.1102529173534,0,0,NA,0.721335594201197,1.25911554198413,1.1102529173534,1.1102529173534,1,1
Lomatia myricoides,3,0.0503250296006355,1.01367969729119,1.03758206244773,-0.0239023651565373,0.234335997671942,3,1.01367969729119,-1.26093542369417e-15,1.20235904851111e-15,0.484864232661806,1.01367969729119,-1.35667468214286e-15,1.25510095944901e-15,0.475253897111319,0.874589561258425,1.10892555893037,1.01367969729119,1.01367969729119,0,0
Lophostemon suaveolens,1,0.152798053527981,0.863322860120456,1.15246521031611,-0.289142350195658,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.15246521031611,1.15246521031611,0.863322860120456,0.863322860120456,0,0
Melaleuca quinquenervia,1,0.0545012165450122,0.900913067737669,1.15246521031611,-0.251552142578445,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.15246521031611,1.15246521031611,0.900913067737669,0.900913067737669,0,0
Melicytus dentatus,4,0.0550638219167928,1.22115332195471,0.99960245905746,0.221550862897245,0.453137772755846,4,1.22115332195471,0,0,NA,1.22115332195471,0,0,NA,0.721335594201197,1.17447336695704,1.22115332195471,1.22115332195471,1,0
Microlaena stipoides,6,0.13351057874775,1.55954755558043,1.12607653285367,0.433471022726769,0.537779947782938,6,1.55954755558043,2.04509545596975e-17,2.44745059256148e-16,0.937420820377815,1.55954755558044,-8.0124520392443e-16,1.04879418895878e-15,0.487463318091555,0.721335594201197,1.25911554198413,1.55954755558043,1.55954755558043,1,1
Notelaea longifolia,1,0.0175182481751825,0.929418925714293,1.15246521031611,-0.223046284601821,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.15246521031611,1.15246521031611,0.929418925714293,0.929418925714293,0,0
Notelaea microcarpa var. microcarpa,1,0.026027397260274,0.790988475088816,1.25911554198413,-0.468127066895319,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.25911554198413,1.25911554198413,0.790988475088816,0.790988475088816,0,1
