species,plot,abund,log_SLA.exp,log_SLA
Microlaena stipoides,10,0.0116959064327485,1.55954755558043,1.55954755558043
Microlaena stipoides,11,0.424657534246575,1.55954755558043,1.55954755558043
Microlaena stipoides,12,0.0273941330898299,1.55954755558043,1.55954755558043
Notelaea longifolia,13,0.0175182481751825,0.929418925714293,0.929418925714293
Notelaea microcarpa var. microcarpa,11,0.026027397260274,0.790988475088816,0.790988475088816
Notelaea microcarpa var. velutina,12,0.00798995548453373,0.779596491257824,0.779596491257824
Oplismenus aemulus,4,0.0988962472406181,1.74942709912175,1.74942709912175
Oplismenus aemulus,11,0.0205479452054795,1.74942709912175,1.74942709912175
Oplismenus aemulus,12,0.013697066544915,1.74942709912175,1.74942709912175
Oplismenus aemulus,13,0.0145985401459854,1.74942709912175,1.74942709912175
Oplismenus imbecillis,13,0.134306569343066,1.80119783445915,1.80119783445915
Pennisetum clandestinum,12,0.168930487387285,1.48372989900002,1.48372989900002
Pittosporum spinescens,1,0.0117340286831812,1.26576091671761,1.26576091671761
Platylobium formosum subsp. formosum,9,0.011744966442953,1.16106838547117,1.16106838547117
Poa labillardierei var. labillardierei,8,0.0168067226890756,1.13321945673249,1.13321945673249
Poa labillardierei var. labillardierei,9,0.280201342281879,1.13321945673249,1.13321945673249
Poa meionectes,3,0.113456464379947,1.03019478535675,1.03019478535675
Poa meionectes,5,0.017632241813602,1.03019478535675,1.03019478535675
Poa sieberiana,10,0.0339181286549708,1.10105935490812,1.10105935490812
Poa sieberiana,11,0.00753424657534247,1.10105935490812,1.10105935490812
Pomaderris aspera,3,0.16754617414248,1.12775251583297,1.12775251583297
Pomaderris aspera,7,0.0222222222222222,1.12775251583297,1.12775251583297
Pomaderris aspera,8,0.0478345184227537,1.12775251583297,1.12775251583297
Pomaderris aspera,9,0.0184563758389262,1.12775251583297,1.12775251583297
Pomaderris aspera,10,0.0491228070175439,1.12775251583297,1.12775251583297
Prostanthera lasianthos,9,0.0587248322147651,1.1264561134318,1.1264561134318
Prunella vulgaris,8,0.00775694893341952,1.42291798076766,1.42291798076766
Pteridium esculentum,3,0.0857519788918206,0.984077033902831,0.984077033902831
Pteridium esculentum,4,0.0406181015452539,0.984077033902831,0.984077033902831
Pteridium esculentum,9,0.0788590604026846,0.984077033902831,0.984077033902831
Pteridium esculentum,10,0.0105263157894737,0.984077033902831,0.984077033902831
Pteridium esculentum,12,0.0165506220751056,0.984077033902831,0.984077033902831
Pteridium esculentum,13,0.0165450121654501,0.984077033902831,0.984077033902831
Pultenaea juniperina,9,0.0595637583892617,0.809559714635268,0.809559714635268
Ripogonum album,15,0.346849047386419,1.07700432679335,1.07700432679335
Rubus fruticosus agg.,7,0.019047619047619,1.34576569311449,1.34576569311449
Rubus fruticosus agg.,8,0.122818358112476,1.34576569311449,1.34576569311449
Rubus fruticosus agg.,10,0.0725146198830409,1.34576569311449,1.34576569311449
