species,maxheight,seedmass,SLA,WD
Senecio prenanthoides,0.8,NA,15.79,NA
Senecio sp. (Genoa),NA,NA,NA,NA
Senecio sp. (Gibbo),NA,NA,NA,NA
Setaria pumila,1.3,1.39,15.1,NA
Shrub (Gibbo 13),NA,NA,NA,NA
Shrub (Goodradigbee),NA,NA,NA,NA
Shrub (Tuross 1),NA,NA,NA,NA
Shrub (Wadbilliga 53),NA,NA,NA,NA
Shrub 1 (Sportsmans 47),NA,NA,NA,NA
Shrub 2 (Sportsmans 52),NA,NA,NA,NA
Sicyos australis,NA,93,NA,NA
Sida rhombifolia,1,2.59,23.59,NA
Smilax australis,NA,40.76,11.3,NA
Smilax glyciphylla,NA,36.66,8.82,NA
Solanum americanum,1.3,0.59,15,NA
Solanum aviculare,4,0.82,36.25,NA
Solanum mauritianum,4,1.03,20.13,0.449091629
Solanum nigrum,1.2,0.52,26.04,NA
Solanum pungetium,1.5,0.9,NA,NA
Solenogyne bellioides,0.2,0.13,NA,NA
Sonchus asper,1.5,0.32,31.38,NA
Sonchus oleraceus,1.1,0.26,26.47,NA
Stellaria flaccida,0.2,0.42,48.42,NA
Stellaria media,0.2,0.35,43.22,NA
Stephania japonica,NA,19.72,26.1,NA
Subshrub 1 (Wallagaraugh 17),0.5,NA,NA,NA
Symplocos thwaitesii,15,36,NA,0.538125
Syzygium oleosum,15,216.49,10.07,0.58133195
Tagetes minuta,2,1.18,50.14,NA
Taraxacum officinale,0.4,0.7,19.17,NA
Tasmannia insipida,3,2.35,12.15,0.78
Themeda australis,1.2,1.96,16.74,NA
Tradescantia fluminensis,0.2,3.01,46.41,NA
Tree (Jilliby 32),NA,NA,NA,NA
Tree (Sportsmans 57),30,NA,NA,0.612402056
Trema tomentosa var. aspera,6,4.86,47.9,0.330762133
Trifolium repens,0.3,0.41,24.36,NA
Tristaniopsis laurina,30,10.26,7.48,0.653561451
Trophis scandens,NA,NA,12.14,0.658878333
Tylophora barbata,NA,10.16,31.85,NA
Urtica incisa,1,0.24,40.55,NA
Verbena bonariensis,2,0.17,14.6,NA
Verbena quadrangularis,2.5,0.2,9.52,NA
Verbena sp. (Nariel),NA,NA,NA,NA
Vernonia cinerea,1,0.29,28.06,NA
Veronica calycina,0.5,0.19,15.24,NA
Veronica notabilis,0.4,NA,NA,NA
Veronica plebeia,0.1,NA,NA,NA
Veronica sp. (Mammy Johnsons),NA,NA,NA,NA
Veronica sp. (Nariel),NA,NA,NA,NA
Viola hederacea,0.2,0.7,23.18,NA
Viola sieberiana,0.1,NA,NA,NA
Vulpia bromoides,0.4,0.48,33.65,NA
Wahlenbergia sp. (Tuross 1),NA,NA,NA,NA
Waterhousea floribunda,30,NA,13.58,0.542954174
Wilkiea huegeliana,8,169.46,9.85,0.67
Xanthium occidentale,2,50.08,48.65,NA
